,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team,Cleansheets,Shots saved
384,Jackson Porozo,2,1,96,0,0,1,0,0,0,0,0,0,0,39,44,88.6,2,2,1,3,4,0,58,0,0,0,1,2,1,0,0,0,0,1,0,DF,21,France,Troyes,Ecuador,0,
385,Romario Ibarra,2,1,68,0,0,2,1,0,0,0,0,0,0,10,14,71.4,0,0,1,1,2,0,23,1,1,100,0,0,0,0,0,0,0,0,1,MF,27,mx,Pachuca,Ecuador,0,
386,Alan Franco,2,1,46,0,0,0,0,0,0,0,0,0,0,10,11,90.9,1,0,0,2,1,0,16,0,0,0,0,0,0,0,0,0,0,1,1,MF,23,Argentina,Talleres,Ecuador,0,
387,Carlos Gruezo,1,1,45,0,0,0,0,0,0,0,0,0,0,15,15,100,2,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,MF,27,Germany,Augsburg,Ecuador,0,
388,Jeremy Sarmiento,3,0,85,0,0,1,1,0,0,0,0,0,0,23,37,62.2,2,1,0,1,0,0,45,2,6,33.3,2,2,1,5,0,0,0,2,1,"MF,FW",19,England,Brighton,Ecuador,0,
389,José Cifuentes,2,0,59,0,0,1,1,0,0,0,0,0,0,33,44,75,2,2,1,0,1,0,53,0,0,0,3,0,0,2,0,0,0,0,0,MF,23,America,Los Angeles FC,Ecuador,0,
390,Djorkaeff Reasco,1,0,27,0,0,0,0,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,FW,23,Argentina,Newell's OB,Ecuador,0,
391,Kevin Rodríguez,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FW,22,,,Ecuador,0,
392,Collins Fai,3,3,270,0,0,1,0,0,0,0,0,2,0,99,146,67.8,5,2,2,4,7,0,169,0,2,0,4,4,0,13,0,0,0,1,1,DF,29,Saudi Arabia,Al-Ta'ee,Cameroon,0,
393,Nouhou Tolo,3,3,270,0,0,0,0,0,0,0,0,1,0,83,109,76.1,8,5,5,6,10,0,148,1,5,20,3,1,0,7,0,0,0,4,3,DF,24,America,Seattle,Cameroon,0,
394,Andre-Frank Zambo Anguissa,3,3,260,0,1,1,1,0,0,0,0,0,0,113,130,86.9,4,0,2,5,2,0,158,4,5,80,6,4,0,2,0,0,0,4,0,MF,26,Italy,Napoli,Cameroon,0,
395,Eric Maxim Choupo-Moting,3,3,253,1,0,3,2,0.33,0.5,1,0,0,0,44,66,66.7,4,2,0,1,1,0,88,3,8,37.5,0,1,1,0,0,0,0,11,6,"FW,MF",33,Germany,Bayern Munich,Cameroon,0,
396,Bryan Mbeumo,3,3,233,0,0,2,2,0,0,0,0,0,0,49,85,57.6,0,0,1,1,2,0,107,1,7,14.3,1,8,0,12,0,0,0,5,9,"FW,MF",22,England,Brentford,Cameroon,0,
397,Jean-Charles Castelletto,2,2,180,1,1,1,1,1,1,1,0,0,0,66,82,80.5,3,3,2,6,12,0,109,1,1,100,1,1,0,3,0,0,0,3,1,DF,27,France,Nantes,Cameroon,0,
